5.01875 -9.16909
5.1125 -9.07037
5.2925 -8.89461
5.42 -8.77664
5.51 -8.68515
5.66375 -8.55033
5.70875 -8.51181
5.80625 -8.43237
5.85875 -8.39145
5.9825 -8.29035
6.1025 -8.20611
6.19625 -8.1363
6.30125 -8.06651
6.39875 -8.00393
6.50375 -7.93896
6.56375 -7.90527
6.65 -7.86197
6.74 -7.81626
6.86375 -7.76575
6.9875 -7.71766
7.0775 -7.684
7.19 -7.65276
7.31375 -7.62395
7.445 -7.60718
7.5575 -7.60005
7.67 -7.60255
7.79 -7.61228
7.87625 -7.6244
8.0 -7.64618
8.0825 -7.66071
8.225 -7.69215
8.37125 -7.72359
8.48375 -7.7526
